I am a boy.	Yo soy un niño.
These are my favorite beaches.	Estas son mis playas favoritas.
I want coffee because I'm tired.	Yo quiero café porque estoy cansado.
I am happy with my new skirt	Yo estoy feliz con mi falda nueva.
How many dogs do you have?	¿Cuántos perros tienes?
Mister, do you want that shirt?	Señor, ¿usted quiere esa camisa?
I want a lot of cheese in my salad.	Quiero mucho queso en mi ensalada.
My boyfriend's car is not old.	El carro de mi novio no es viejo.
She wants this coffee because she has milk.	Ella quiere este café porque tiene leche.
These are my favourite pants.	Estos son mis pantalones favoritos.
Do you want more chocolate?	¿Quieres más chocolate?
Do you want to play with the boys?	¿Quieres jugar con los chicos?
On Mondays I get up at six.	Los lunes me levanto a las seis.
Do you go to Spain often?	¿Ustedes van a España a menudo?
She studies three hours every day.	Ella estudia tres horas todos los días.
We work at twelve.	Nosotros trabajamos a las doce.
She does not want to study on Saturdays.	Ella no quiere estudiar los sábados.
I always go to work by bus.	Yo siempre voy al trabajo en autobús.
When do you want to go to the movies.	¿Cuándo quieres ir al cine?
They also want to watch television.	Ellas también quieren mirar televisión.
You never go to the library.	Tú nunca vas a la biblioteca.
We eat together every night.	Comemos juntos todas las noches.
She always is busy at eleven.	Ella siempre está ocupada a las once.
I need to work on Saturdays.	Necesito trabajar los sábados.
I always study from ten to twelve.	Yo siempre estudio de diez a doce.
They go to the library every day.	Ellas van a la biblioteca todos los días.
I go to the office every Monday.	Yo voy a la oficina todos los lunes.
I need to sleep for eight hours.	Necesito dormir ocho horas.
The boy always wants to watch television.	El niño siempre quiere mirar televisión.
My brother wants to go to the movies tomorrow.	Mi hermano quiere ir al cine mañana.
Are you going to the movies tonight	¿Vas al cine esta noche?
You go to the office by bus.	Tú vas a la oficina en autobús.
There is no living room in this house.	No hay una sala en esta casa.
Do you want to paint your bedroom?	¿Quieres pintar tu dormitorio?
The bedrooms are very modern.	Las habitaciones son muy modernas.
She has two refrigerators in the kitchen.	Ella tiene dos neveras en la cocina.
Where are the cell phones?	¿Dónde están los celulares?
Those windows are very big.	Esas ventanas son muy grandes.
The cell phones are on the bookcase.	Los celulares están sobre la estantería.
He is buying a house near the beach.	Él compra una casa cerca de la playa.
How many bedrooms does the house have?	¿Cuántos dormitorios tiene la casa?
Those bathrooms are not modern.	Esos baños no son modernos.
She cleans the bathroom every day.	Ella limpia el baño todos los días.
What are you buying for the new house?	¿Qué compras para la casa nueva?
My books are under the desk.	Mis libros están debajo del escritorio.
Do you have a big bed?	¿Tú tienes una cama grande?
Is the living room window blue?	¿La ventana de la sala es azul?
We have two clocks in the office.	Tenemos dos relojes en la oficina.
You don't need two kitchens.	Tú no necesitas dos cocinas.
The cat is in the fridge.	¡El gato está en la nevera!
The girls want a big bedroom.	Las chicas quieren un dormitorio grande.
There is a kitchen in the house.	Hay una cocina en la casa.
Sir, can you bring the check? 	Señor, ¿puede traer la cuenta?
We need more drinks on this table.	Necesitamos más bebidas en esta mesa.
I don't have a fork.	No tengo tenedor.
What drink do you want?	¿Qué bebida quiere usted?
We want to eat chicken with potatoes.	Queremos comer pollo con patatas.
We want to eat dessert.	Queremos comer postre.
Do you want to pay now?	¿Ustedes quieren pagar ahora?
This soup does not have beans.	Esta sopa no tiene frijoles.
I would like chicken with salad.	Quisiera pollo con ensalada.
Do you want to eat a Spanish dish?	¿Quieres comer un plato español?
We want the meat, but without cheese.	Queremos la carne, pero sin queso.
I have two knives.	Tengo dos cuchillos.
Pardon we need forks.	Disculpe, necesitamos tenedores.
Do you want to use this knife?	¿Quieres usar este cuchillo?
Do you want a glass of water?	¿Quiere usted un vaso de agua?
What desserts do you have?	¿Qué postres tiene?
This fish is very good.	Este pescado es muy bueno.
Waiters work in restaurants.	Los camareros trabajan en restaurantes.
I am paying for the chicken and the fries.	Yo pago el pollo y las patatas fritas.
The waitresses speak good Spanish.	Las camareras hablan bien español.
Many families are small.	Muchas familias son pequeñas.
My brother likes soccer.	A mi hermano le gusta el fútbol.
Is your husband here?	¿Está tu marido aquí?
Your parents are Mexican?	¿Tus padres son mexicanos?
These are my favorite movies.	Estas son mis películas favoritas.
The sports are interesting.	Los deportes son interesantes.
Basketball is my favourite.	El baloncesto es mi favorito.
Are your Spanish friends nice?	¿Tus amigas españolas son simpáticas?
I have two younger sisters.	Tengo dos hermanas menores.
Our mothers are American.	Nuestras madres son americanas.
My friends are Mexican.	Mis amigas son mexicanas.
Do you want to listen to music now?	¿Quieres escuchar música ahora?
My brother goes to a lot of concerts in the summer.	Mi hermano va a muchos conciertos en el verano.
Do you have older brothers?	¿Tienes hermanos mayores?
Yo quiero tener un hermano menor. I want to have a younger brother.
My grandmother and I play the piano together.	Mi abuela y yo tocamos el piano juntas.
They are not nice to me.	Ellos no son simpáticos conmigo.
They play the guitar in the concert.	Ellos tocan la guitarra en el concierto.
Do you want to play music now?	¿Quieres tocar música ahora?
I play the guitar because it is fun	Yo toco la guitarra porque es divertido.
Where do you want to go shopping?	¿Dónde quieres ir de compras?
Size sixteen is big for me.	La talla dieciséis es grande para mí.
We want to look for another store.	Queremos buscar otra tienda.
Do you want to go shopping today?	¿Quieres ir de compras hoy?
Do you want to buy something for me?	¿Quieres comprar algo para mí?
Papa, I would like to buy something for you.	Papá, quisiera comprar algo para ti.
Sir, are you open today?	Señor, ¿usted abre hoy?
Those pants are not for me.	Esos pantalones no son para mí.
Does the store close on the weekend?	¿La tienda cierra los fines de semana?
There are a lot of interesting shops here.	Hay muchas tiendas interesantes aquí.
They want to look for some t-shirts.	Ellos quieren buscar unas camisetas.
I go shopping every Saturday.	Yo voy de compras todos los sábados.
I want to buy a hat for you.	Quiero comprar un sombrero para ti.
We want to go shopping today.	Queremos ir de compras hoy.
This store never closes in the afternoon.	Esta tienda nunca cierra en la tarde.
Mother, the red t-shirt is for me	Mamá, la camiseta roja es para mí.
My mother wants to look for a new cellphone.	Mi madre quiere buscar un celular nuevo.
Felipe, these pants are for you.	Felipe, estos pantalones son para ti.
The hat costs five dollars.	El sombrero cuesta quince dólares.
The skirt costs thirteen dollars	La falda cuesta trece dólares.
Do the pants cost fourteen pesos?	¿Los pantalones cuestan catorce pesos?
 What size do you need sir?	¿Qué talla necesita, señor?
 The shop is not open on Sundays.	La tienda no abre los domingos.
 I don't buy a lot of clothes with nineteen pesos.	No compro mucha ropa con diecinueve pesos.
 The prices are expensive here.	Los precios son caros aquí.
 That boy is sixteen.	Ese chico tiene dieciséis años.
 I need a credit card.	Yo necesito una tarjeta de crédito.
	¡Es muy caro! It is very expensive.
 What is the price of this clock ?	¿Cuál es el precio de este reloj?
 Where are the fitting rooms?	¿Dónde están los probadores?
 The t-shirt is for you or for me?	¿La camiseta es para ti o para mí?
 This skirt is beautiful but expensive.	Esta falda es bonita pero cara.
 The girls are in the fitting room.	Las chicas están en el probador.
 I look for some green pants.	Busco unos pantalones verdes.
 They are looking for some cheap skirts.	Ellas buscan unas faldas baratas.
 We have big sizes and small.	Tenemos tallas grandes y pequeñas.
 We are not angry now.	No estamos enojadas ahora.
 This bathroom is big.	Este baño es grande.
 They are very surprised.	Ellos están muy sorprendidos.
 She is a responsible person.	Ella es una persona responsable.
 My parents are also busy.	Mis padres también están ocupados.
 My parents are not angry.	Mis padres no están enojados.
 That boy is very studious.	Ese niño es muy estudioso.
 You are very good looking.	Tú eres muy guapo.
 We are happy with the new house.	Estamos felices con la casa nueva.
 My sisters are not worried.	Mis hermanas no están preocupadas.
 Those shoes are very clean.	Esos zapatos están muy limpios.
 The bosses are busy in the office.	Las jefas están ocupadas en la oficina.
 We are nervous here.	Nosotros estamos nerviosos aquí.
 My bedroom is dirty now.	Mi dormitorio está sucio ahora.
 The banks are not open on Sundays.	Los bancos no están abiertos los domingos.
 This shirt is yellow.	Esta camisa es amarilla.
 My friends are sad today.	Mis amigos están tristes hoy.
 The office is closed on Tuesdays.	La oficina está cerrada los martes.
 Those girls are tall.	Esas chicas son altas.
 They are surprised.	Ellas están sorprendidas.
 Do you want to spend time with me today?	¿Quieres pasar tiempo conmigo hoy?
 We have a present for you 	Tenemos un regalo para ti.
 Those pants are very pretty.	Aquellos pantalones son muy bonitos.
 What does he like?	¿A él qué le gusta?
 We ride horseback near the river.	Montamos a caballo cerca del río.
 Normally I like going to the beach.	Normalmente me gusta ir a la playa.
 Is this guitar for us?	¿Esta guitarra es para nosotros?
 The boy enjoys his presents.	El niño disfruta sus regalos.
 Do you want to play with the ball?	¿Quieres jugar con la pelota?
 We are enjoying a week in the city.	Disfrutamos una semana en la ciudad.
 I am enjoying a day at the beach.	Yo disfruto un día en la playa.
 My parents are walking on the beach.	Mis padres caminan en la playa.
 These pants are not for her.	Estos pantalones no son para ella.
 Do you want those shirts?	¿Ustedes quieren aquellas camisas?
 What do you want to buy for him?	¿Qué quieres comprar para él?
 They are enjoying a coffee with their friends.	Ellos disfrutan un café con amigos.
 They want to ride the bicycles in the park.	Ellos quieren montar las bicicletas en el parque.
 Are you enjoying this beautiful day?	¿Tú disfrutas este día bonito?
 This shirt is for him.	Esta camisa es para él.
 The boy wants to play with the ball.	El niño quiere jugar con la pelota.
 I want to go to Germany in the summer.	Yo quiero ir a Alemania en el verano.
 The girl sees her father on Sundays	La niña ve a su padre los domingos.
 Who wants to call my grandfather?	¿Quién quiere llamar a mi abuelo?
 My husband is familiar with many places here.	Mi esposo conoce muchos lugares aquí.
 My grandfather wants to meet my wife.	Mi abuelo quiere conocer a mi esposa.
 Do you know a lot of people here?	¿Conoces a mucha gente aquí?
¡Amamos la playa! We love the beach!
 The teachers know the students very well.	Los maestros conocen a los estudiantes muy bien.
	¡Mi gato nunca ayuda a su hermano! My cat never helps his brother.
 Parents love their children.	Los padres aman a sus hijos.
 They are teaching my son Spanish.	Ellos enseñan español a mi hijo.
 I know a lot of doctors.	Yo conozco a muchos médicos.
 Usually we help mom in the morning.	Usualmente ayudamos a mamá en la mañana.
 I want to visit that place.	Quiero visitar ese lugar.
 The girls visit their grandmother.	Las niñas visitan a su abuela.
 I watch a lot of movies.	Yo veo muchas películas.
 Parents need to love their children.	Los padres necesitan amar a sus hijos.
 My parents want to visit different towns.	Mis padres quieren visitar diferentes pueblos.
 We know your brother.	Nosotros conocemos a tu hermano.
 The girl is teaching her grandfather Spanish.	La niña enseña español a su abuelo.
 Many adults here are young.	Muchos adultos aquí son jóvenes.
 How old are your parents?	¿Cuántos años tienen tus padres?
 My friends are twenty two years old.	Mis amigos tienen veintidós años.
 We have twenty-two dollars.	Nosotras tenemos veintidós pesos.
 The girl is not cold.	La niña no tiene frío.
 Are you twenty-one years old? 	¿Tú tienes veintiún años?
 This cat is always sleepy.	Este gato siempre tiene sueño.
 Are you twenty-five years old?	¿Tú tienes veinticinco años?
 We are thirsty.	Nosotros tenemos sed.
 They want two juices.	Ellos quieren dos jugos.
 How old are you?	¿Cuántos años tienes tú?
 I have on a pretty coat.	Tengo puesto un abrigo bonito.
 I want water because I am hot.	Quiero agua porque tengo calor.
 I'm hungry now.	Yo tengo hambre ahora.
 Do you feel like going shopping?	¿Tienes ganas de ir de compras?
 She is twenty two years old.	Ella tiene veintidós años.
 I have number twenty one.	Tengo el número veintiuno.
 Do you want these brown pants?	¿Quieres estos pantalones marrones?
 My parents are young.	Mis padres son jóvenes.
 Are you afraid?	¿Ustedes tienen miedo?
 She has two long skirts.	Ella tiene dos faldas largas.
 My brother is twenty-three years old.	Mi hermano tiene veintitrés años.
 We have three long dresses.	Tenemos tres vestidos largos.
 The day has twenty-four hours.	El día tiene veinticuatro horas.
 We don't call you often.	No te llamamos a menudo.
 My mother needs me today	Mi mamá me necesita hoy.
 I call you a lot.	Yo te llamo mucho.
 You never call us.	Tú nunca nos llamas.
 The teacher reads us a book.	El maestro nos lee un libro.
 The French course is very interesting.	El curso de francés es muy interesante.
 Many teachers know us here.	Muchos maestros nos conocen aquí.
 She does not listen to me.	Ella no me escucha.
 What is dad buying us?	¿Qué nos compra papá?
 You don't love me.	Tú no me quieres.
 My father buys me a guitar.	Mi papá me compra una guitarra.
 My parents call me on Sundays.	Mis padres me llaman los domingos.
	¿Cuándo nos visita nuestra abuela?	 When is our grandmother visiting us.
 Yes I know you.	Sí, yo te conozco.
 I always need you.	Siempre te necesito.
 I am helping you with the food.	Yo te ayudo con la comida.
 You are helping me a lot.	Me ayudas mucho.
 My sisters never help us.	Mis hermanas nunca nos ayudan.
 They never listed to us.	Ellas nunca nos escuchan.
 They learn German in the school.	Ellos aprenden alemán en la escuela.
 We make dinner early in the evening.	Hacemos la cena temprano en la noche.
 Are you making breakfast today?	¿Tú haces el desayuno hoy?
 Mother does not have an easy job.	Mamá no tiene un trabajo fácil.
 We have two weeks of holidays.	Tenemos dos semanas de vacaciones.
 What are you doing here?	¿Qué hacen ustedes aquí?
 She leaves at eight thirty.	Ella sale a las ocho y media.
 It's a little late now.	Es un poco tarde ahora.
 I take a taxi every day.	Yo tomo un taxi todos los días.
 I am making a chocolate cake.	Yo hago un pastel de chocolate.
¡Mi gato nunca quiere ducharse! My cat never wants to shower!
 When do you leave from work?	¿Cuándo sales del trabajo?
 He does not want to get up before eight.	Él no quiere levantarse antes de las ocho.
 My brother never makes his bed.	Mi hermano nunca hace su cama.
 School is always difficult.	La escuela siempre es difícil.
 These children eat too much.	Estos niños comen demasiado.
 Usually I have a lot of homework.	Usualmente yo tengo mucha tarea.
 They are not taking the bus today.	Ellos no toman el autobús hoy.
 Are you taking a taxi or the bus?	¿Tú tomas un taxi o el autobús?
 What do you want to eat for lunch?	¿Qué quieres comer en el almuerzo?
 The boy does not want to put on the shoes.	El niño no quiere ponerse los zapatos.
